session_id,message_index,t_start_sec,t_end_sec,emotion_visual_deployed,n_frames_with_face,fer_p_angry,fer_p_disgust,fer_p_fear,fer_p_happy,fer_p_neutral,fer_p_sad,fer_p_surprise
00_00_00_05_03_01_00,8,286.576,309.396,neutral,3,9.942269063399234e-05,0.013005504917590012,0.0008871093660712387,0.0005955531267653958,0.974936145302894,0.010228178421099675,0.000248086174945737
00_00_00_05_03_01_00,10,343.373,375.371,neutral,3,0.00012179905148886449,0.011821542199774233,0.0005580679698684323,0.001253305358855835,0.9804577369737645,0.005524369292858046,0.00026317915339021594
00_00_00_05_03_01_00,12,417.72,441.022,neutral,3,0.0006073362090186057,0.23052837380727084,0.0026966471537470445,0.005695143541433808,0.7318836030416225,0.003551946034658968,0.025036950212248346
00_00_00_05_03_01_00,14,465.655,494.053,neutral,3,8.110852852287587e-05,0.0006633330907083523,0.0002675266205267635,0.0007548048560941641,0.9956968923944278,0.0024823097670924536,5.402474262758279e-05
00_00_00_05_03_01_00,16,514.659,536.13,neutral,3,0.00012954337378933702,0.0012750510698080761,0.0004627541480236247,0.0018309556619932334,0.9919495043767236,0.004290219016414106,6.197235324806842e-05
00_00_00_05_03_01_00,18,593.424,619.942,neutral,3,4.3154409708796736e-05,0.013200343955442548,0.0001071367258459198,0.0004014129608800588,0.9794519529466129,0.006745456514115995,5.0542487393798205e-05
00_00_00_05_03_01_00,20,651.531,682.532,neutral,3,5.882186488532653e-05,0.008688579345997026,0.00013553263175535978,0.0017351855705284882,0.9874899821706876,0.00185204603102928,3.9852385117021326e-05
00_00_00_05_03_01_00,22,713.532,739.688,happy,3,0.0006037461449139553,0.025076535022487613,0.001616286747612341,0.0017352292170484404,0.9612254807721559,0.00902621127653533,0.0007165108192463767
00_00_00_05_03_01_00,24,795.357,829.717,happy,3,5.969553402792242e-05,0.001586416705521362,0.0006116791287457039,0.00822891894324429,0.9887052937149571,0.0006940049436009417,0.00011399102990273567
00_00_00_05_03_01_00,26,854.944,901.554,neutral,3,2.002615375803096e-05,0.0015922719217312585,6.201570732775227e-05,0.00032042292999156976,0.9969486699711314,0.0010464615837794812,1.0131732280454602e-05
00_00_00_05_03_01_00,28,934.021,964.347,happy,3,4.5763420493280687e-05,0.001399532417031248,4.201196201254681e-05,0.002014082005967021,0.996194494380025,0.0002852978087501826,1.8818005720828174e-05
00_00_00_05_03_01_00,30,1019.76,1027.439,happy,3,0.00024051840781756146,0.023890461115875398,0.0009073521944171864,0.010329224457681826,0.9500524593776823,0.014511134081628223,6.885036489746484e-05
